461008aa,"['POI30', 'POI32', 'POI19', 'POI0']"
461008ac,[]
461008ad,"['POI30', 'POI32', 'POI19']"
46100bba,"['POI30', 'POI4', 'POI46']"
46100bbe,['POI19']
46100bbf,"['POI17', 'POI46']"
46100bc1,[]
46100bc3,[]
46100bc4,"['POI15', 'POI47', 'POI0', 'POI19', 'POI12']"
46100bc9,"['POI5', 'POI30']"
46100bcd,"['POI34', 'POI24']"
46100bd0,[]
46100bd9,['POI7']
46100be0,['POI5']
46100be1,"['POI27', 'POI30']"
46100be2,"['POI28', 'POI25', 'POI28']"
46100be3,"['POI4', 'POI46', 'POI17', 'POI23']"
46100be4,['POI49']
46100bf4,[]
46100c01,"['POI9', 'POI40', 'POI16', 'POI44']"
46100c1b,"['POI0', 'POI25']"
46100c29,[]
46100c30,['POI0']
46100c36,['POI1']
46100c4c,"['POI1', 'POI49', 'POI1', 'POI49']"
46100c4d,"['POI3', 'POI41', 'POI26', 'POI30', 'POI49']"
46100c4e,"['POI0', 'POI25']"
46100c50,['POI46']
46100c52,"['POI21', 'POI31']"
46100c53,['POI1']
46100c54,[]
46100c62,"['POI32', 'POI30']"
46100c66,['POI4']
46100c68,[]
46100c74,['POI19']
46100c7d,[]
46100c83,['POI24']
46100c84,['POI38']
46100c85,"['POI28', 'POI18', 'POI37', 'POI6']"
46100c87,['POI8']
46100c88,['POI6']
46100c89,"['POI24', 'POI44', 'POI16']"
46100c91,"['POI25', 'POI19']"
46100c93,['POI30']
46100c98,['POI24']
46100c9b,"['POI28', 'POI36']"
46100cae,"['POI8', 'POI48']"
46100cb0,[]
46100cb1,"['POI2', 'POI34', 'POI45', 'POI23', 'POI17', 'POI46']"
46100cb3,['POI1']
46100cb9,"['POI46', 'POI17']"
46100cbf,[]
46100cc0,"['POI40', 'POI9']"
46100cc1,['POI5']
46100cc6,"['POI1', 'POI49', 'POI30']"
46100cc7,[]
46100ccd,['POI12']
46100cd1,['POI5']
46100cd6,['POI32']
46100cd8,"['POI3', 'POI41', 'POI26', 'POI32']"
46100cdd,[]
46100ced,['POI44']
46100d00,"['POI32', 'POI30', 'POI49']"
46100d14,['POI25']
46100d19,[]
