4610015e,"['POI41', 'POI6', 'POI37', 'POI18', 'POI28', 'POI12', 'POI19', 'POI0']"
46100163,"['POI7', 'POI20', 'POI7', 'POI34', 'POI47', 'POI19']"
46100164,"['POI30', 'POI26', 'POI5', 'POI43', 'POI5', 'POI32', 'POI36', 'POI0', 'POI19']"
46100167,"['POI6', 'POI37', 'POI18', 'POI37', 'POI19']"
46100168,"['POI10', 'POI17', 'POI46', 'POI17', 'POI10']"
46100169,"['POI27', 'POI49', 'POI1', 'POI49', 'POI1', 'POI49', 'POI27', 'POI49', 'POI1', 'POI49', 'POI1', 'POI49', 'POI27', 'POI38', 'POI19', 'POI12']"
4610016a,"['POI0', 'POI19', 'POI32']"
4610016c,"['POI25', 'POI19', 'POI12', 'POI28', 'POI18', 'POI37', 'POI6', 'POI41', 'POI3', 'POI41', 'POI6', 'POI37', 'POI18', 'POI36', 'POI18', 'POI37', 'POI6']"
4610016d,"['POI25', 'POI0', 'POI38']"
46100170,[]
46100172,"['POI19', 'POI32', 'POI22']"
46100173,"['POI0', 'POI28', 'POI12', 'POI19']"
46100176,"['POI1', 'POI30', 'POI21', 'POI19']"
46100179,"['POI44', 'POI40', 'POI38', 'POI19', 'POI25', 'POI19', 'POI12', 'POI28', 'POI18', 'POI37', 'POI6']"
4610017b,"['POI25', 'POI19', 'POI12', 'POI28', 'POI18', 'POI37', 'POI6', 'POI41', 'POI26', 'POI30', 'POI49', 'POI13']"
46100184,['POI7']
46100186,"['POI19', 'POI0', 'POI19', 'POI38', 'POI9']"
46100187,"['POI22', 'POI39', 'POI11', 'POI27', 'POI49', 'POI4', 'POI46', 'POI25', 'POI0']"
4610018d,[]
4610018f,"['POI10', 'POI17', 'POI46', 'POI4', 'POI49', 'POI4', 'POI46']"
46100190,"['POI7', 'POI24', 'POI44', 'POI16', 'POI40', 'POI9']"
46100191,"['POI7', 'POI20', 'POI46', 'POI17', 'POI10', 'POI29']"
46100193,"['POI24', 'POI2', 'POI33', 'POI47', 'POI33', 'POI25']"
46100195,"['POI1', 'POI49', 'POI1', 'POI49']"
46100196,['POI25']
46100198,"['POI13', 'POI17', 'POI46', 'POI17', 'POI23', 'POI19']"
46100199,"['POI25', 'POI19', 'POI12', 'POI32', 'POI30', 'POI49', 'POI30']"
4610019c,['POI41']
4610019d,"['POI16', 'POI40', 'POI9']"
4610019f,"['POI32', 'POI30', 'POI49']"
461001a1,"['POI3', 'POI41', 'POI3', 'POI41', 'POI30', 'POI49']"
461001a2,"['POI34', 'POI47', 'POI19', 'POI25']"
461001a3,"['POI5', 'POI11', 'POI27', 'POI49', 'POI1', 'POI49', 'POI30', 'POI5']"
461001a4,[]
461001a6,['POI46']
461001a9,[]
461001aa,['POI25']
461001ab,"['POI12', 'POI25', 'POI19', 'POI36', 'POI12', 'POI19', 'POI25', 'POI19', 'POI38', 'POI40', 'POI16', 'POI44']"
461001ad,"['POI25', 'POI19', 'POI37', 'POI6', 'POI41', 'POI3']"
461001ae,"['POI19', 'POI12', 'POI28', 'POI18', 'POI37']"
461001af,"['POI35', 'POI43', 'POI3', 'POI41']"
461001b0,"['POI5', 'POI30', 'POI27', 'POI5', 'POI1']"
461001b3,"['POI16', 'POI40', 'POI13', 'POI42', 'POI19']"
461001b5,"['POI47', 'POI19']"
461001b8,"['POI20', 'POI7', 'POI48', 'POI23', 'POI17', 'POI46']"
461001b9,"['POI23', 'POI17', 'POI46', 'POI17', 'POI23']"
461001ba,"['POI4', 'POI1', 'POI49', 'POI30', 'POI32', 'POI19', 'POI25', 'POI19', 'POI32', 'POI30', 'POI49', 'POI1']"
461001be,"['POI29', 'POI10', 'POI17', 'POI46', 'POI4', 'POI46']"
461001bf,"['POI19', 'POI42', 'POI23', 'POI17', 'POI46', 'POI4', 'POI49', 'POI1']"
461001c0,"['POI4', 'POI46', 'POI17', 'POI9']"
461001c3,[]
461001c4,"['POI19', 'POI12', 'POI28', 'POI18', 'POI37', 'POI6', 'POI41', 'POI3', 'POI41', 'POI6', 'POI37', 'POI18']"
461001c8,"['POI41', 'POI3', 'POI41', 'POI6', 'POI37', 'POI18', 'POI36', 'POI18']"
461001ca,"['POI5', 'POI32', 'POI36', 'POI9', 'POI38', 'POI19', 'POI32', 'POI5']"
461001cb,"['POI25', 'POI19', 'POI38']"
461001d0,"['POI3', 'POI41', 'POI30', 'POI4', 'POI46', 'POI17', 'POI10']"
461001d1,"['POI32', 'POI19', 'POI25', 'POI19', 'POI41']"
461001d2,"['POI28', 'POI12', 'POI19', 'POI25']"
461001d4,"['POI43', 'POI30', 'POI49', 'POI17', 'POI10']"
461001db,"['POI25', 'POI19', 'POI1']"
461001dd,"['POI28', 'POI19', 'POI25']"
461001df,['POI0']
461001e2,"['POI26', 'POI32', 'POI19', 'POI25', 'POI19', 'POI32', 'POI26']"
461001e3,[]
461001eb,"['POI46', 'POI17', 'POI10', 'POI29', 'POI8', 'POI7', 'POI29', 'POI10', 'POI17', 'POI46']"
461001ec,"['POI32', 'POI19', 'POI25', 'POI0', 'POI25', 'POI19', 'POI25', 'POI19', 'POI32', 'POI30', 'POI49', 'POI4', 'POI46']"
461001ed,[]
461001f1,"['POI20', 'POI7', 'POI9']"
461001f3,['POI19']
461001f5,"['POI0', 'POI19', 'POI25', 'POI19']"
461001f8,"['POI3', 'POI41', 'POI26', 'POI8', 'POI19']"
461001fa,"['POI20', 'POI7', 'POI48', 'POI23', 'POI17', 'POI46', 'POI17', 'POI0']"
461001fc,"['POI3', 'POI28']"
461001ff,"['POI17', 'POI46']"
46100200,"['POI7', 'POI24', 'POI34', 'POI47', 'POI36', 'POI18', 'POI37', 'POI6', 'POI41', 'POI3', 'POI31', 'POI28', 'POI12', 'POI19', 'POI0']"
46100204,"['POI19', 'POI38', 'POI40']"
46100206,"['POI21', 'POI22', 'POI27', 'POI49', 'POI4', 'POI46']"
46100208,[]
46100209,"['POI49', 'POI4', 'POI49']"
4610020a,"['POI20', 'POI24', 'POI44', 'POI40', 'POI45', 'POI23', 'POI17', 'POI46', 'POI4', 'POI49', 'POI30', 'POI32', 'POI19']"
4610020c,"['POI10', 'POI17', 'POI46', 'POI4', 'POI49', 'POI43']"
4610020e,"['POI45', 'POI47', 'POI0', 'POI25', 'POI0', 'POI25', 'POI12', 'POI28']"
46100212,"['POI19', 'POI32', 'POI30', 'POI49']"
46100214,"['POI34', 'POI15', 'POI7', 'POI15', 'POI47', 'POI36', 'POI18', 'POI37']"
46100217,"['POI10', 'POI17', 'POI46']"
4610021a,"['POI21', 'POI31', 'POI21', 'POI22', 'POI21', 'POI31']"
4610021b,"['POI25', 'POI0', 'POI19', 'POI47']"
4610021c,"['POI7', 'POI48', 'POI49', 'POI30', 'POI43', 'POI22', 'POI27', 'POI49', 'POI1', 'POI4', 'POI46', 'POI17', 'POI10', 'POI29']"
4610021d,"['POI19', 'POI47', 'POI15', 'POI48', 'POI8']"
46100223,"['POI13', 'POI15', 'POI48', 'POI8']"
46100224,['POI9']
46100226,"['POI26', 'POI32', 'POI12', 'POI19', 'POI0']"
46100227,"['POI6', 'POI41', 'POI26', 'POI41', 'POI3']"
46100229,"['POI5', 'POI32', 'POI28']"
4610022d,['POI38']
46100230,"['POI49', 'POI1', 'POI49']"
46100231,"['POI12', 'POI25', 'POI19', 'POI18', 'POI37', 'POI6', 'POI41', 'POI3', 'POI31', 'POI21']"
46100232,"['POI27', 'POI49']"
46100235,"['POI21', 'POI3', 'POI41', 'POI6', 'POI37', 'POI19']"
46100237,"['POI19', 'POI0']"
46100238,"['POI19', 'POI0', 'POI36', 'POI18']"
46100239,"['POI41', 'POI6', 'POI37', 'POI36', 'POI40', 'POI16', 'POI40', 'POI9', 'POI40', 'POI16']"
4610023b,['POI25']
4610023c,"['POI6', 'POI41', 'POI43', 'POI30', 'POI17', 'POI46', 'POI17', 'POI46', 'POI19']"
4610023d,"['POI3', 'POI19']"
4610023e,"['POI12', 'POI28', 'POI18', 'POI37', 'POI6', 'POI37', 'POI19', 'POI25', 'POI19', 'POI4', 'POI30', 'POI32', 'POI28']"
46100241,['POI4']
46100249,"['POI17', 'POI46', 'POI49']"
4610024b,['POI32']
4610024c,['POI38']
4610024d,"['POI43', 'POI5', 'POI35', 'POI5']"
46100251,"['POI4', 'POI46']"
46100252,"['POI3', 'POI41', 'POI43', 'POI38']"
46100254,"['POI38', 'POI0', 'POI46']"
46100255,['POI25']
46100256,"['POI30', 'POI32']"
