j_50_cd,left,top,right,bottom,xcoord,ycoord,oid_count
1592439,929600,1492800,929650,1492750,929625,1492775,12
1645059,934050,1488000,934100,1487950,934075,1487975,12
1649795,934500,1507400,934550,1507350,934525,1507375,12
1692671,938350,1497200,938400,1497150,938375,1497175,12
1693497,938450,1505300,938500,1505250,938475,1505275,12
1742045,945250,1498100,945300,1498050,945275,1498075,12
1745187,947450,1498000,947500,1497950,947475,1497975,12
1010970,878450,1486450,878500,1486400,878475,1486425,11
1034270,882250,1489350,882300,1489300,882275,1489325,11
1037561,882700,1489700,882750,1489650,882725,1489675,11
1038355,882800,1488100,882850,1488050,882825,1488075,11
1046848,883850,1490750,883900,1490700,883875,1490725,11
1057755,885000,1491600,885050,1491550,885025,1491575,11
1082179,887200,1479900,887250,1479850,887225,1479875,11
1091324,888050,1473750,888100,1473700,888075,1473725,11
1094974,888400,1471350,888450,1471300,888425,1471325,11
1105023,889400,1497400,889450,1497350,889425,1497375,11
1106671,889550,1497400,889600,1497350,889575,1497375,11
1112932,890100,1480250,890150,1480200,890125,1480225,11
1120677,890800,1473000,890850,1472950,890825,1472975,11
1140504,892600,1490150,892650,1490100,892625,1490125,11
1158782,894250,1486450,894300,1486400,894275,1486425,11
1161520,894500,1487250,894550,1487200,894525,1487225,11
1162337,894550,1474100,894600,1474050,894575,1474075,11
1162543,894600,1491500,894650,1491450,894625,1491475,11
1188140,896900,1500150,896950,1500100,896925,1500125,11
1188702,896950,1500050,897000,1500000,896975,1500025,11
1197368,897700,1474250,897750,1474200,897725,1474225,11
1197902,897750,1474350,897800,1474300,897775,1474325,11
1201113,898050,1474800,898100,1474750,898075,1474775,11
1203274,898250,1474650,898300,1474600,898275,1474625,11
1204888,898400,1474250,898450,1474200,898425,1474225,11
1207593,898650,1473800,898700,1473750,898675,1473775,11
1209214,898800,1474550,898850,1474500,898825,1474525,11
1214718,899300,1474150,899350,1474100,899325,1474125,11
1222057,899950,1472400,900000,1472350,899975,1472375,11
1254877,902850,1501000,902900,1500950,902875,1500975,11
1265078,903700,1499050,903750,1499000,903725,1499025,11
1273148,904350,1502350,904400,1502300,904375,1502325,11
1276286,904600,1502450,904650,1502400,904625,1502425,11
1293968,906000,1498150,906050,1498100,906025,1498125,11
1297118,906250,1499750,906300,1499700,906275,1499725,11
1304171,906800,1500600,906850,1500550,906825,1500575,11
1310595,907300,1499800,907350,1499750,907325,1499775,11
1311177,907350,1502500,907400,1502450,907375,1502475,11
1313020,907450,1473950,907500,1473900,907475,1473925,11
1319372,907950,1473350,908000,1473300,907975,1473325,11
1322571,908200,1472100,908250,1472050,908225,1472075,11
1322587,908250,1503000,908300,1502950,908275,1502975,11
1341862,909800,1502750,909850,1502700,909825,1502725,11
